id_centro,id_area_OLD,id_cluster_NEW
102920,10365,38
102921,10365,38
102922,10354,38
102923,10365,38
102924,10374,38
102926,10519,38
102935,10519,38
102951,10354,38
102952,10520,38
102955,10434,38
102958,10495,38
102964,10354,38
102973,10327,38
102977,10508,38
102978,10304,38
102981,10354,38
102982,10344,38
102986,10354,38
102990,10218,38
102991,10222,38
102993,10432,38
102996,10365,38
102998,10218,38
103301,10327,38
103303,10327,38
103305,10376,38
103309,10493,38
103315,10219,38
103316,10207,38
103323,10453,38
103325,10327,38
103326,10377,38
103331,10219,38
103334,10376,38
103335,10327,38
103344,10221,38
103348,10221,38
103351,10219,38
103354,10363,38
103355,10382,38
103357,10372,39
103360,10326,40
103363,10221,40
103364,10354,40
103365,10376,40
103368,10453,40
103370,10458,40
103373,10441,40
103374,10372,40
103375,10382,40
103378,10363,40
103379,10219,40
103382,10300,40
103383,10354,40
103386,10218,40
103390,10495,40
103391,10538,40
103393,10324,40
103396,10365,40
103401,10440,40
103406,10228,40
103408,10365,40
103409,10219,40
103425,10417,40
103436,10521,40
103438,10530,40
103439,10221,40
103442,10475,40
103448,10541,40
103450,10306,40
103459,10359,40
103472,10327,40
103475,10541,40
103476,10434,40
103479,10422,40
103480,10422,40
103481,10422,40
103483,10422,40
103484,10386,41
103485,10422,41
103486,10422,41
103492,10449,42
103493,10478,42
103496,10428,43
103509,10326,43
103511,10419,43
103513,10519,43
103520,10419,44
103529,10422,45
103530,10365,46
103532,10478,46
103537,10419,46
103538,10228,46
103542,10207,46
103543,10432,46
103544,10449,46
103545,10541,46
103547,10338,46
103549,10221,47
103551,10490,47
103554,10478,47
103555,10376,47
103556,10478,47
103560,10219,47
103571,10419,47
103572,10421,47
103578,10327,47
103579,10316,47
103583,10490,47
103585,10495,47
103587,10538,47
103592,10518,47
103596,10478,47
103597,10455,47
103601,10431,47
103603,10219,47
103604,10219,47
103607,10219,47
103619,10386,48
103621,10363,48
103650,10363,48
103627,10327,48
103628,10363,48
103631,10395,48
103633,10431,48
103642,10357,49
103644,10540,49
103646,10228,49
103652,10322,50
103653,10396,50
103654,10500,51
103658,10228,52
103668,10219,52
103669,10469,52
103670,10316,52
103672,10363,53
103679,10500,54
103680,10500,55
103684,10544,56
103687,10219,56
103689,10304,56
103691,10436,56
103692,10436,57
103696,10395,58
103698,10523,59
103769,10525,59
103705,10449,59
103706,10228,59
103707,10219,59
103712,10395,59
103716,10324,59
103719,10338,59
103720,10363,59
103723,10228,60
103725,10525,61
103730,10405,61
103736,10363,62
103738,10324,63
103745,10521,63
103747,10449,64
103749,10431,64
103751,10519,64
103754,10326,64
103756,10314,64
103758,10478,64
103762,10478,64
103763,10345,64
103764,10484,64
103765,10228,64
103768,10324,64
103774,10207,64
103775,10207,65
103779,10228,65
103781,10453,66
103783,10405,67
103784,10546,67
103787,10431,68
103788,10363,68
103794,10419,68
103801,10508,68
103802,10422,68
103809,10422,68
103810,10405,68
103811,10478,68
103812,10453,68
103883,10219,68
103827,10326,68
103832,10478,68
103836,10470,68
103838,10518,68
103840,10453,68
103844,10324,68
103848,10363,69
103849,10228,69
103855,10527,70
103856,10324,70
103862,10422,71
103866,10396,71
103870,10422,72
103872,10363,72
103873,10422,73
103874,10395,73
103876,10377,73
103877,10469,73
103880,10228,73
103881,10219,73
103882,10219,73
103891,10539,73
103896,10421,73
103901,10422,73
103907,10396,74
103910,10382,75
103911,10396,75
103913,10526,76
103920,10537,77
103924,10533,78
103929,10396,79
103938,10396,79
103940,10422,79
103943,10519,80
103948,10478,81
103949,10395,81
103951,10381,82
103960,10508,82
103963,10440,82
103967,10541,83
103970,10395,84
103975,10422,85
103986,10505,86
103989,10326,87
103990,10363,88
103998,10224,88
104000,10535,89
104004,10316,90
104005,10224,91
104006,10449,91
104007,10495,91
104009,10396,92
104011,10314,92
104013,10219,93
104016,10365,94
104017,10478,94
104018,10219,94
104019,10421,94
104020,10527,95
104024,10386,96
104026,10354,97
104028,10519,98
104029,10219,99
104031,10377,100
104036,10377,100
104041,10453,100
104045,10405,100
104060,10419,100
104061,10519,100
104062,10475,101
104064,10502,102
104067,10222,103
104068,10355,104
104070,10386,105
104088,10534,106
104092,10523,107
104093,10324,108
104095,10376,109
104096,10512,109
104098,10453,110
104099,10453,110
104103,10363,110
104107,10475,111
104108,10419,112
104119,10222,113
104120,10422,113
104122,10525,114
104131,10541,115
104138,10219,116
104170,10542,117
104179,10453,118
104185,10512,119
104198,10422,120
104203,10529,121
104219,10207,122
104230,10495,123
104233,10516,124
104236,10306,125
104239,10500,126
104246,10316,127
104253,10532,128
104255,10372,128
104260,10508,129
104261,10419,130
104266,10419,131
104278,10541,132
104284,10377,133
104287,10422,134
104288,10207,135
104289,10419,135
104310,10224,136
104334,10495,137
104335,10545,138
104337,10440,138
104342,10221,139
104347,10218,139
104349,10529,140
104356,10207,141
104366,10405,142
